"WriteProof","https://github.com/writeproof/writeproof.github.io",Browser-based word processor with cryptographic proof of authorship. Records keystrokes and writing patterns while running 100\% on the browser."
"RSSCAT","https://github.com/FrankRCastillo/rsscat","A terminal-based RSS reader that displays feeds using ANSI hyperlinks."
"CoLD","https://github.com/FrankRCastillo/cold","Command Line Downloader for web-based resources."
"Zotero Books to Sections","https://github.com/FrankRCastillo/zotero-books-to-sections","Zotero plugin for splitting books into book sections."
